Title,Date,Time,Content,Link
Phim của Huỳnh Lập chất lượng vụng về vẫn dẫn đầu phòng vé,21/2/2025,06:48,"“Nhà gia tiên” nhiều gia vị, nhưng thiếu sự hòa quyện. Huỳnh Lập tham lam khi dùng thoại dẫn dắt câu chuyện và cảm xúc khán giả, song cách giải quyết mâu thuẫn phim còn vụng về.",https://znews.vn/phim-cua-huynh-lap-chat-luong-vung-ve-van-dan-dau-phong-ve-post1533000.html
Cục Điện ảnh phản hồi tin 'Na Tra 2' chiếu ở Việt Nam,21/2/2025,10:12,"Về thông tin ""Na Tra 2"" sắp sửa ra rạp Việt được chia sẻ trên mạng xã hội, Cục trưởng Cục Điện ảnh Đặng Trần Cường cho biết chưa nhận được hồ sơ xin cấp phép.",https://znews.vn/cuc-dien-anh-phan-hoi-tin-na-tra-2-chieu-o-viet-nam-post1533087.html
Lọ Lem lên tiếng khi bị chê bai,21/2/2025,04:00,"Trước loạt ý kiến trái chiều từ cộng đồng mạng, con gái MC Quyền Linh cho biết sẽ không ngừng cố gắng để trở thành niềm tự hào của ba mẹ.",https://znews.vn/lo-lem-len-tieng-khi-bi-che-bai-post1533045.html
Đằng sau chia sẻ kiếm hàng tỷ đồng trước 19 tuổi của Lọ Lem,21/2/2025,18:06,"Con gái Quyền Linh cho biết từ nhỏ cô đã kiếm tiền nhờ đóng quảng cáo, quay hình. Khi càng lớn, số tiền Lọ Lem tích cóp được tăng dần theo thời gian.",https://znews.vn/dang-sau-chia-se-kiem-hang-ty-dong-truoc-19-tuoi-cua-lo-lem-post1533084.html
Vụ án ma túy kinh khủng nhất giới giải trí,21/2/2025,16:03,"Vụ Yoo Ah In bị điều tra sử dụng 8 loại chất cấm được truyền thông Hàn Quốc mô tả là ""vụ án ma túy kinh điển của giới giải trí"".",https://znews.vn/vu-an-ma-tuy-kinh-khung-nhat-gioi-giai-tri-post1533266.html
Chàng trai hóa trang thành Na Tra gây sốt,21/2/2025,17:03,Lý Dã Khiết thu hút sự chú ý khi hóa thân thành nhân vật hoạt hình Na Tra trong bom tấn đang dẫn đầu phòng vé Trung Quốc.,https://znews.vn/chang-trai-hoa-trang-thanh-na-tra-gay-sot-post1533280.html
Nông Thúy Hằng có bạn trai,21/2/2025,21:03,"Nông Thúy Hằng có bạn trai sinh năm 1991, làm phó giám đốc một công ty khoáng sản. Hai người đã về ra mắt gia đình và bàn bạc việc kết hôn.",https://znews.vn/nong-thuy-hang-co-ban-trai-post1533354.html
Diễn viên 'Penthouse' cắt đứt quan hệ với gia đình,21/2/2025,18:58,"Lee Ji Ah cho biết cô đã cắt đứt quan hệ với gia đình từ cách đây 10 năm. Gần đây, truyền thông Hàn Quốc đưa tin người thân của cô đang tranh chấp mảnh đất trị giá 35 tỷ won.",https://znews.vn/dien-vien-penthouse-cat-dut-quan-he-voi-gia-dinh-post1533288.html
"Lâm Na tố cáo bị đạo diễn sàm sỡ, cưỡng hôn",21/2/2025,17:06,"Diễn viên Khám Lâm Na, kể từng bị đạo diễn, diễn viên Trịnh Ký Phong - người vừa bị bắt vì bị tình nghi xâm hại trẻ em - có hành vi nhốt cô trong phòng và sàm sỡ.",https://znews.vn/lam-na-to-cao-bi-dao-dien-sam-so-cuong-hon-post1533276.html
Jennie khoe nội y trong MV mới,21/2/2025,14:03,"Jennie vừa phát hành video ""ExtraL"". Nữ ca sĩ tiếp tục theo đuổi concept nữ quyền với phong cách gợi cảm.",https://znews.vn/jennie-khoe-noi-y-trong-mv-moi-post1533233.html
Vợ chồng Cao Minh Đạt mong có con sau 9 năm cưới,21/2/2025,13:07,Diễn viên Cao Minh Đạt và bà xã đang tiến hành làm IVF để có con sau 9 năm về chung một nhà.,https://znews.vn/vo-chong-cao-minh-dat-mong-co-con-sau-9-nam-cuoi-post1533222.html
Vợ chồng Bae Yong Joon bị công kích,21/2/2025,12:41,Việc quyên góp số tiền lớn cho trung tâm y tế khiến Bae Yong Joon và Park Soo Jin bị chỉ trích. Khán giả nghi ngờ hai người ủng hộ để được nhận biệt đãi.,https://znews.vn/vo-chong-bae-yong-joon-bi-cong-kich-post1533101.html
Hoàng Cảnh Du cùng bạn gái du lịch Phú Quốc?,21/2/2025,10:21,"Hoàng Cảnh Du mới đây được bắt gặp ở Phú Quốc. Đáng nói, anh xuất hiện cùng một cô gái làm dấy lên nghi vấn hẹn hò.",https://znews.vn/hoang-canh-du-cung-ban-gai-du-lich-phu-quoc-post1533094.html
